rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
142,Josh Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,SEA,RB,2010
143,Adam Prentice,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NO,RB,2010
144,Tre Harbison III,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CLE,RB,2010
145,Gary Brightwell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,RB,2010
146,Nick Ralston,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,RB,2010
147,A.J. Rose Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,MIN,RB,2010
148,JaQuan Hardy,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,RB,2010
149,Tory Carter,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,TEN,RB,2010
150,Kenneth Gainwell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,12.8,PHI,RB,2010
151,Rhamondre Stevenson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,50.4,NE,RB,2010
152,Matt Breida,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,8.2,BUF,RB,2010
153,Jay Finley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CIN,RB,2010
154,Shane Bannon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,KC,RB,2010
155,Taiwan Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BUF,RB,2010
156,Alfonso Smith,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,FA,RB,2010
157,Nick Bellore,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,SEA,RB,2010
158,Isaac Odim,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAC,RB,2010
159,Chad Spann,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,HOU,RB,2010
160,Lance Ball,41,158,3.9,19,0,0,3,6,16,5.3,0,0,10,0.0,0.0,0.0,FA,RB,2010
161,Joique Bell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,8,0.0,0.0,0.2,FA,RB,2010
162,John Conner,8,44,5.5,16,0,1,2,4,9,4.5,0,0,16,0.0,0.0,0.0,FA,RB,2010
163,Garrett Mills,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NE,RB,2010
