player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Ryan Griffin,TE,1.0,32.0,54.0,0.0,6.0,6.0,6.0,7.5,23.4,13,2021,2.0,2.0,15.0,7.5,14.0,0.0,1.0,0.0,0.0,0.0,0.0,NYJ,PHI,True
Kenny Yeboah,TE,1.0,14.0,24.0,0.0,7.0,0.0,7.0,0.0,0.0,13,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,PHI,True
Jack Doyle,TE,1.0,42.0,58.0,0.0,2.0,2.0,2.0,1.3,3.1,13,2021,1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,HOU,False
Mo Alie-Cox,TE,1.0,31.0,43.0,0.0,3.0,3.0,3.0,0.0,0.0,13,2021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,HOU,False
Kylen Granson,TE,1.0,30.0,42.0,0.0,7.0,3.0,7.0,0.6,2.0,13,2021,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,HOU,False
Logan Thomas,TE,1.0,43.0,64.0,0.0,12.0,7.0,12.0,10.8,25.1,13,2021,3.0,5.0,48.0,16.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,WAS,LV,False
John Bates,TE,1.0,38.0,57.0,0.0,11.0,8.0,11.0,4.2,11.1,13,2021,3.0,4.0,42.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,LV,False
Sammis Reyes,TE,1.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,LV,False
C.J. Uzomah,TE,1.0,66.0,87.0,0.0,9.0,5.0,9.0,2.0,3.0,13,2021,3.0,6.0,20.0,6.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,LAC,True
James O'Shaughnessy,TE,1.0,39.0,67.0,0.0,15.0,5.0,15.0,1.3,3.3,13,2021,2.0,6.0,13.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,LAR,False
