player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Damien Williams,RB,KC,1.0,19.0,19.0,26.0,26.0,11.0,37.0,37.0,4.5,23.7,13,2018
Taylor Gabriel,WR,CHI,1.0,76.0,76.0,90.0,0.0,9.0,4.0,9.0,-0.3,-0.4,13,2018
Willie Snead IV,WR,BAL,1.0,66.0,66.0,80.0,0.0,5.0,2.0,5.0,0.8,1.2,13,2018
Allen Hurns,WR,DAL,1.0,16.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Bennie Fowler III,WR,NYG,1.0,32.0,32.0,44.0,0.0,6.0,3.0,6.0,1.1,3.4,13,2018
Dontrelle Inman,WR,IND,1.0,54.0,54.0,71.0,0.0,11.0,4.0,11.0,1.4,2.6,13,2018
Keith Smith,RB,OAK,1.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Adam Thielen,WR,MIN,1.0,61.0,61.0,100.0,0.0,16.0,8.0,16.0,8.8,14.4,13,2018
Cameron Brate,TE,TB,1.0,44.0,44.0,68.0,0.0,14.0,7.0,14.0,3.6,8.2,13,2018
Roosevelt Nix,RB,PIT,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Josh Hill,TE,NO,1.0,26.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Darren Fells,TE,CLE,1.0,15.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Seth Roberts,WR,OAK,1.0,59.0,59.0,78.0,0.0,10.0,5.0,10.0,2.5,4.2,13,2018
Marcus Mariota,QB,TEN,1.0,67.0,67.0,99.0,6.0,0.0,58.0,58.0,21.6,32.2,13,2018
Jameis Winston,QB,TB,1.0,65.0,65.0,100.0,8.0,0.0,54.0,54.0,22.8,35.1,13,2018
Amari Cooper,WR,DAL,1.0,56.0,56.0,79.0,0.0,14.0,14.0,14.0,5.5,9.8,13,2018
DeVante Parker,WR,MIA,1.0,46.0,46.0,82.0,0.0,15.0,9.0,15.0,10.3,22.4,13,2018
Todd Gurley II,RB,LAR,1.0,65.0,65.0,94.0,35.0,8.0,40.0,43.0,28.5,43.8,13,2018
Devin Funchess,WR,CAR,1.0,32.0,32.0,46.0,0.0,9.0,3.0,9.0,7.0,21.9,13,2018
Maxx Williams,TE,BAL,1.0,21.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Ameer Abdullah,RB,MIN,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Tevin Coleman,RB,ATL,1.0,29.0,29.0,55.0,21.0,10.0,24.0,31.0,1.1,3.8,13,2018
Taylor Heinicke,QB,CAR,1.0,1.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,13,2018
Duke Johnson Jr.,RB,CLE,1.0,20.0,20.0,35.0,0.0,15.0,10.0,15.0,1.2,6.0,13,2018
T.J. Yeldon,RB,JAC,1.0,35.0,35.0,60.0,23.0,23.0,43.0,46.0,6.5,18.6,13,2018
