player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Sony Michel,5.4,23.5,0.1,0.7,5.7,0.0,0.0,3.7,LAR,RB,2,2021
Trey Sermon,5.0,21.1,0.1,0.8,6.0,0.0,0.0,3.7,SF,RB,2,2021
Devontae Booker,6.4,23.8,0.1,1.0,6.7,0.0,0.0,3.6,NYG,RB,2,2021
Phillip Lindsay,5.2,22.3,0.1,1.0,6.7,0.0,0.0,3.6,MIA,RB,2,2021
Malcolm Brown,5.7,20.4,0.2,0.7,4.9,0.0,0.1,3.5,MIA,RB,2,2021
Zack Moss,4.8,20.9,0.1,0.5,4.0,0.0,0.0,3.3,BUF,RB,2,2021
Giovani Bernard,2.3,10.1,0.1,1.9,15.0,0.1,0.0,3.3,TB,RB,2,2021
JaMycal Hasty,3.6,15.4,0.1,1.0,8.3,0.0,0.0,3.1,SF,RB,2,2021
Darrel Williams,3.8,15.5,0.1,1.2,8.9,0.0,0.0,3.1,KC,RB,2,2021
Salvon Ahmed,3.7,16.1,0.1,1.0,7.8,0.0,0.0,3.0,MIA,RB,2,2021
Samaje Perine,3.5,15.2,0.1,0.9,6.8,0.0,0.0,2.8,CIN,RB,2,2021
Justin Jackson,2.4,13.7,0.1,0.9,7.0,0.0,0.0,2.7,LAC,RB,2,2021
Alexander Mattison,3.5,16.4,0.1,0.6,6.0,0.0,0.0,2.7,MIN,RB,2,2021
DeeJay Dallas,3.1,11.7,0.1,0.9,7.7,0.0,0.0,2.5,SEA,RB,2,2021
Trey Ragas,2.9,11.1,0.0,0.8,8.3,0.1,0.0,2.5,LV,RB,2,2021
Alex Collins,2.5,12.2,0.1,0.4,3.6,0.0,0.0,2.3,SEA,RB,2,2021
Devonta Freeman,2.7,12.1,0.1,0.6,4.9,0.0,0.0,2.3,BAL,RB,2,2021
J.J. Taylor,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.3,NE,RB,2,2021
Matt Breida,3.7,14.4,0.0,0.7,5.2,0.0,0.0,2.1,BUF,RB,2,2021
Kyle Juszczyk,0.7,2.5,0.0,1.3,12.2,0.1,0.0,2.1,SF,RB,2,2021
Ty Montgomery,1.0,5.6,0.0,1.1,10.1,0.0,0.0,2.0,NO,RB,2,2021
Marlon Mack,1.2,11.5,0.1,0.3,2.2,0.0,0.0,1.9,IND,RB,2,2021
Benny Snell Jr.,2.3,11.0,0.1,0.2,1.7,0.0,0.0,1.8,PIT,RB,2,2021
Rex Burkhead,0.4,4.6,0.0,0.9,7.0,0.0,0.0,1.6,HOU,RB,2,2021
Rhamondre Stevenson,4.0,15.0,0.0,0.0,0.0,0.0,0.0,1.5,NE,RB,2,2021
Wayne Gallman Jr.,2.0,9.0,0.1,0.0,0.0,0.0,0.0,1.5,MIN,RB,2,2021
Chuba Hubbard,1.8,6.5,0.0,0.7,5.0,0.0,0.0,1.4,CAR,RB,2,2021
Kalen Ballage,1.1,7.2,0.1,0.4,2.9,0.0,0.0,1.4,PIT,RB,2,2021
Darrynton Evans,1.2,4.8,0.0,0.7,5.3,0.0,0.0,1.4,TEN,RB,2,2021
Kylin Hill,1.3,7.4,0.1,0.3,3.0,0.0,0.0,1.4,GB,RB,2,2021
