Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
242,Steven Jackson(FA),16,63,3.9,8,0,1,3,4,16,5.3,0,0,1,0.0,0.0,0.0%
243,Shonn Greene(FA),4,15,3.8,6,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%
244,Samkon Gado(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
245,Reggie Bush(FA),15,83,5.5,39,1,0,4,7,17,4.3,0,0,1,0.0,0.0,0.0%
246,Ray Rice(FA),16,30,1.9,7,0,0,1,1,-3,-3.0,0,0,1,0.0,0.0,0.0%
247,Rashard Mendenhall(FA),13,54,4.2,15,0,1,1,2,24,24.0,0,0,1,0.0,0.0,0.0%
248,Rashad Jennings(FA),16,73,4.6,15,0,0,4,5,49,12.3,0,0,1,0.0,0.0,0.0%
249,Pierre Thomas(FA),10,73,7.3,18,0,0,5,6,57,11.4,0,0,1,0.0,0.0,0.0%
250,Anthony Dixon(FA),3,13,4.3,9,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
251,Toby Gerhart(FA),8,91,11.4,26,1,0,1,1,5,5.0,0,0,1,0.0,0.0,0.0%
252,Ben Tate(FA),7,1,0.1,3,0,0,5,6,26,5.2,0,0,1,0.0,0.0,0.0%
253,Dexter McCluster(FA),1,-1,-1.0,0,0,0,7,10,59,8.4,0,0,1,0.0,0.0,0.0%
254,Ryan Mathews(FA),14,55,3.9,13,0,1,2,2,10,5.0,0,0,1,0.0,0.0,0.0%
255,Jonathan Dwyer(FA),6,7,1.2,4,0,0,1,2,1,1.0,0,0,1,0.0,0.0,0.0%
256,Xavier Omon(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
257,Willis McGahee(FA),4,12,3.0,4,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
258,Vonta Leach(FA),0,0,0,0,0,0,1,1,6,6.0,0,0,1,0.0,0.0,0.0%
259,Tony Fiammetta(FA),0,0,0,0,0,0,2,2,23,11.5,0,0,1,0.0,0.0,0.0%
260,Marcel Reece(FA),5,14,2.8,5,0,0,4,5,44,11.0,1,0,1,0.0,0.0,0.0%
261,Le'Ron McClain(FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
262,Madison Hedgecock(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
