rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
23.0,Chris Moore,3.0,3.0,48.0,16.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,0.1,BAL,WR,14,2017
24.0,Kendall Wright,10.0,11.0,107.0,10.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.7,10.7,0.0,CHI,WR,14,2017
25.0,Marquise Goodwin,6.0,12.0,106.0,17.7,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,0.3,SF,WR,14,2017
27.0,Torrey Smith,6.0,11.0,100.0,16.7,46.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,PHI,WR,14,2017
28.0,Kelvin Benjamin,3.0,8.0,38.0,12.7,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,0.1,CIN,WR,14,2017
29.0,Julio Jones,5.0,11.0,98.0,19.6,38.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,60.7,ATL,WR,14,2017
30.0,Tommylee Lewis,2.0,2.0,30.0,15.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,NO,WR,14,2017
31.0,Brandon LaFell,3.0,6.0,24.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,0.0,CIN,WR,14,2017
32.0,Sammy Watkins,3.0,7.0,21.0,7.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.1,8.1,7.0,LAR,WR,14,2017
33.0,Michael Crabtree,7.0,13.0,60.0,8.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,OAK,WR,14,2017
34.0,Danny Amendola,6.0,9.0,76.0,12.7,26.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.1,NE,WR,14,2017
35.0,Tyreek Hill,4.0,6.0,75.0,18.8,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,100.0,KC,WR,14,2017
