player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Kalif Raymond,DET,WR,16,4.0,2.0,10.0,6.0,2.0,7.0,8.0,1.0,0.0,6.0,1.0,4.0,2.0,5.0,3.0,5.0,0.0,5.0,71.0,4.4375,77.0,113.0
Chase Edmonds,ARI,RB,12,4.0,5.0,8.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,53.0,4.416666666666667,130.0,114.0
Quintez Cephus,DET,WR,5,6.0,7.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.4,255.0,115.0
Cedrick Wilson Jr.,DAL,WR,14,3.0,2.0,4.0,2.0,1.0,7.0,0.0,3.0,5.0,0.0,7.0,10.0,0.0,2.0,0.0,3.0,6.0,6.0,61.0,4.357142857142857,104.5,116.0
Aaron Jones,GB,RB,15,2.0,6.0,2.0,4.0,5.0,4.0,5.0,11.0,2.0,6.0,0.0,1.0,0.0,3.0,2.0,6.0,6.0,0.0,65.0,4.333333333333333,90.0,117.0
Zach Pascal,IND,WR,16,5.0,6.0,7.0,5.0,5.0,1.0,6.0,8.0,7.0,2.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,2.0,69.0,4.3125,82.5,119.0
Cordarrelle Patterson,ATL,RB,16,2.0,7.0,7.0,6.0,9.0,0.0,5.0,5.0,6.0,2.0,0.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,69.0,4.3125,82.5,119.0
Cordarrelle Patterson,ATL,WR,16,2.0,7.0,7.0,6.0,9.0,0.0,5.0,5.0,6.0,2.0,0.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,69.0,4.3125,82.5,119.0
Nico Collins,HOU,WR,14,3.0,1.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,0.0,2.0,5.0,1.0,10.0,4.0,4.0,5.0,7.0,60.0,4.285714285714286,107.0,121.5
Allen Lazard,GB,WR,14,4.0,0.0,1.0,3.0,2.0,5.0,6.0,0.0,1.0,4.0,0.0,6.0,0.0,7.0,4.0,5.0,6.0,6.0,60.0,4.285714285714286,107.0,121.5
