player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Quez Watkins,PHI,17,3.0,2.0,2.0,7.0,3.0,5.0,4.0,2.0,3.0,6.0,1.0,5.0,3.0,0.0,2.0,3.0,4.0,7.0,59.0,3.4705882352941178,61.5,103.0
Randall Cobb,GB,11,1.0,3.0,1.0,6.0,3.0,0.0,4.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.4545454545454546,103.0,104.0
Tyler Johnson,TB,16,1.0,2.0,6.0,2.0,3.0,0.0,2.0,6.0,0.0,5.0,3.0,1.0,1.0,3.0,7.0,0.0,6.0,7.0,54.0,3.375,77.5,105.5
Bryan Edwards,LV,16,5.0,3.0,5.0,4.0,6.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,5.0,3.0,4.0,0.0,2.0,5.0,54.0,3.375,77.5,105.5
D.J. Chark Jr.,JAC,3,12.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.3333333333333335,161.0,107.0
Kenny Stills,NO,7,0.0,0.0,3.0,1.0,5.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,23.0,3.2857142857142856,122.0,108.0
Quintez Cephus,DET,5,6.0,7.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.2,146.0,109.5
Joshua Palmer,LAC,15,1.0,2.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,7.0,1.0,6.0,5.0,9.0,48.0,3.2,87.5,109.5
Damiere Byrd,CHI,11,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,6.0,3.0,2.0,6.0,35.0,3.1818181818181817,111.5,111.0
Tavon Austin,JAC,12,0.0,0.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,5.0,3.0,7.0,4.0,0.0,38.0,3.1666666666666665,103.0,112.0
Jalen Reagor,PHI,17,6.0,5.0,8.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,1.0,0.0,3.0,4.0,1.0,3.0,51.0,3.0,82.5,113.5
D.J. Montgomery,NYJ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,174.5,113.5
Jauan Jennings,SF,13,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,5.0,6.0,5.0,2.0,7.0,38.0,2.923076923076923,103.0,115.0
Mohamed Sanu Sr.,SF,8,1.0,1.0,6.0,5.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.875,122.0,116.0
James Proche II,BAL,7,0.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,20.0,2.857142857142857,132.0,117.0
Parris Campbell,IND,6,3.0,0.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.8333333333333335,141.0,118.0
Devin Duvernay,BAL,16,2.0,0.0,3.0,6.0,4.0,3.0,1.0,0.0,2.0,4.0,6.0,2.0,3.0,5.0,3.0,0.0,3.0,0.0,45.0,2.8125,91.0,119.0
