Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
261,Ryan O'Malley(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
262,Zach Wood(NO),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
263,Mitchell Loewen(FA),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
264,Jason Vander Laan(FA),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
265,J.P. Holtz(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
266,Robert Tonyan(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6%
267,Ben Braunecker(FA),0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
268,Andrew DePaola(MIN),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
269,Bronson Kaufusi(FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
270,Jeff Driskel(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
271,Henry Krieger-Coble(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
272,Kyle Carter(FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
273,Hakeem Valles(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
274,Mason Schreck(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
275,Patrick Scales(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
276,Tyrone Swoopes(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
277,Shane Smith(FA),0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.1%
278,Dan Arnold(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
279,Colin Thompson(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
280,Mark Andrews(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
