rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
36,Geoff Swaim,31,40,210,6.8,26,0,3,0,0,0,0,16,39.0,2.4,0.3,TEN,2021,TE
37,Donald Parham Jr.,20,27,190,9.5,22,0,3,0,0,0,0,14,39.0,2.8,0.7,LAC,2021,TE
38,Ryan Griffin,27,42,261,9.7,29,0,2,0,0,0,0,14,38.1,2.7,0.6,NYJ,2021,TE
39,Hayden Hurst,26,31,221,8.5,33,0,3,0,0,0,1,12,38.1,3.2,0.9,ATL,2021,TE
40,Jimmy Graham,14,23,167,11.9,28,0,3,0,0,0,0,11,36.7,3.3,0.8,CHI,2021,TE
41,Josiah Deguara,25,33,245,9.8,62,0,2,0,0,0,0,14,36.5,2.6,0.4,GB,2021,TE
42,Adam Trautman,27,43,263,9.7,32,0,2,0,0,0,1,11,36.3,3.3,3.7,NO,2021,TE
43,Durham Smythe,34,41,357,10.5,25,0,0,2,3,0,0,16,36.0,2.3,0.1,MIA,2021,TE
44,Brevin Jordan,20,28,178,8.9,27,0,3,0,0,0,0,8,35.8,4.5,1.4,HOU,2021,TE
45,Logan Thomas,18,25,196,10.9,35,0,3,0,0,0,1,5,35.6,7.1,27.1,WAS,2021,TE
46,MyCole Pruitt,14,19,145,10.4,22,0,3,0,0,0,0,13,34.5,2.7,0.0,TEN,2021,TE
47,Kyle Rudolph,26,39,257,9.9,60,0,1,0,0,0,0,15,33.7,2.2,0.3,NYG,2021,TE
48,Tommy Tremble,20,35,180,9.0,30,0,1,3,11,1,0,15,33.1,2.2,0.3,CAR,2021,TE
49,Robert Tonyan,18,29,204,11.3,33,0,2,0,0,0,0,8,32.4,4.1,18.6,GB,2021,TE
50,John Bates,20,25,249,12.5,32,0,1,0,0,0,0,13,30.9,2.4,0.6,WAS,2021,TE
51,Will Dissly,21,26,231,11.0,39,0,1,0,0,0,0,13,29.1,2.2,0.2,SEA,2021,TE
52,James O'Shaughnessy,24,34,244,10.2,30,0,0,0,0,0,0,7,26.4,3.8,1.7,JAC,2021,TE
53,Maxx Williams,16,17,193,12.1,34,0,1,0,0,0,0,5,25.3,5.1,0.4,ARI,2021,TE
